,title,edited title,first_release_year,AS_releases,AU_releases,EU_releases,JP_releases,KO_releases,US_releases,n_releases,Australia,France,Germany,India,Ireland,Italy,Japan,Malaysia,Netherlands,People's Republic of China,Philippines,Poland,Russia,Spain,Sweden,Taiwan,United Kingdom,United States of America,Non-Japan based companies,n_companies,plattforms,unknown,id,slug,title
11,Armored Core: Formula Front - Extreme Battle,Armored Core: Formula Front - Extreme Battle,2004,1,,1,4,,2,8,,,,,,1,1,,,,,,,,,,,2,3,4,"Sony PlayStation 2,Sony PlayStation Portable",,19796,armored-core-formula-front-extreme-battle,Armored Core: Formula Front - Extreme Battle
14,Armored Core: Nexus,Armored Core: Nexus,2004,,,1,2,,1,4,,,,,,,1,,,,,,,,,,,1,1,2,Sony PlayStation 2,,39560,armored-core-nexus,Armored Core: Nexus
15,Armored Core: Nine Breaker,Armored Core: Nine Breaker,2004,,,1,1,,1,3,,,,,,2,1,,,,,,,,,,,1,3,4,Sony PlayStation 2,,35601,armored-core-nine-breaker,Armored Core: Nine Breaker
29,Echo Night: Beyond,Echo Night: Beyond,2004,,,1,1,,1,3,,,,,,,1,,,,,,,,,,,1,1,4,Sony PlayStation 2,2,18880,echo-night-beyond,Echo Night: Beyond
42,Kuon,Kuon,2004,,,1,1,1,1,4,,1,,,,,1,,,,,,,,,,,1,2,4,Sony PlayStation 2,1,15648,kuon,Kuon
45,Metal Wolf Chaos,Metal Wolf Chaos,2004,,,,1,,,1,,,,,,,1,,,,,,,,,,,,0,1,Microsoft Xbox,,40881,metal-wolf-chaos,Metal Wolf Chaos
58,Tenchu: Fatal Shadows,Tenchu: Fatal Shadows,2004,2,,1,3,1,1,8,,,,,,,3,,,,,1,,,,,1,1,3,7,"Sony PlayStation 2,Sony PlayStation Portable",1,16264,tenchu-fatal-shadows,Tenchu: Fatal Shadows
3,Adventure Player,Adventure Player,2005,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,
12,Armored Core: Last Raven,Armored Core: Last Raven,2005,1,1,2,3,1,2,10,,,,,,,1,,,,,,,,,,,,0,1,"Sony PlayStation 2,Sony PlayStation Portable,Sony PlayStation Vita",,68919,armored-core-last-raven,Armored Core: Last Raven
60,Tenchu: Time of the Assassins,Tenchu: Time of the Assassins,2005,2,,1,3,,1,7,,,,,,,1,,,,,,,,,,1,,1,2,Sony PlayStation Portable,,,,
63,Yoshitsune Eiyuuden,Yoshitsune Eiyuuden,2005,,,,2,,,2,,,,,,,,,,,,,,,,,,,0,0,,,,,
8,Armored Core 4,Armored Core 4,2006,,2,2,5,2,2,13,,,,,,,1,,,,,,,,,,,1,1,2,"Microsoft Xbox 360,Sony PlayStation 3",,28656,armored-core-4,Armored Core 4
13,Armored Core: Machine Side Box,Armored Core: Machine Side Box,2006,,,,,,,0,,,,,,,1,,,,,,,,,,,,0,1,"Sony PlayStation,Sony PlayStation 2",,,,
30,Enchanted Arms,Enchanted Arms,2006,2,2,2,3,,3,12,,2,,,,,8,,,,,,,,,,,,2,11,"Microsoft Xbox 360,Sony PlayStation 3",1,25899,enchanted-arms,Enchanted Arms
40,King's Field: Additional I,King's Field: Additional I,2006,,,,3,,,3,,,,,,,1,,,,,,,,,,,,0,1,"Sony PlayStation,Sony PlayStation 2,Sony PlayStation Portable",,107196,kings-field-additional-i,King's Field: Additional I
41,King's Field: Additional II,King's Field: Additional II,2006,,,,3,,,3,,,,,,,1,,,,,,,,,,,,0,1,"Sony PlayStation,Sony PlayStation 2,Sony PlayStation Portable",,107203,kings-field-additional-ii,King's Field: Additional II
56,Tenchu Z,Tenchu Z,2006,1,1,1,3,,1,7,,,,,,,2,,,,,,,,,,,1,1,3,Microsoft Xbox 360,,,,
57,Tenchu: Dark Secret,Tenchu: Dark Secret,2006,,1,1,1,,1,4,,,,,,,2,,,,,,,,,,,1,1,6,Nintendo DS,3,,,
